"HBO Now",15.81,"m","Video and movie streaming service"
"AVG",4.21,"y","Computer antivirus and security software"
"AVG Android",6.99,"y","Antivirus for Android security"
"AVG Cleaner",3.99,"y","Speed, battery, and memory booster"
"Google Play Music",10.54,"m","Google music streaming service and YouTube Red"
"MoviePass",9.95,"m","Nearly dead movie subscription service"
"Google Pixel 2 XL",36.86,"m","Phone Payment for Google Pixel 2 XL"
"Playstation +",63.29,"y","Video game online play subscription"
"Pushbullet Pro",39.99,"y","Device manager and connecting service"
"Amazon Prime",119.99,"y","Online shopping, video streaming, kindle book, and audiobook services"
"Audible",7.99,"m","Audiobook subscription service"
"Google One",19.99,"y","Google cloud storage"
"Barnes and Noble",25,"y","Bookseller and retail outlet"
"Costco Gold Star Membership",60,"y","Wholesale warehouse club"
"BestBuy Gamers Club",14.99,"y","Video game discount membership"
"VSP Insurance",15.96,"m","Eye insurance"
"Bank of Jacbo",131,"m","Tribute to the Bank of Jacbo"
"Progressive Auto Insurance",910,"y","Automotive insurance"
"Chase Auto Loan",296.91,"m","Mazda3 car loan payment"
"Eagle Heights Rent",480,"m","Eagle Heights rent"
"Eagle Heights MGE",30,"m","Madison Gas and Electric"
"Eagle Heights Parking",12.5,"m","Lot B and Lot Z parking"
"Patreon AmaLee",6,"m","Patreon funding for AmaLee"
"Patreon Jenny Nicholson",6,"m","Patreon funding for Jenny Nicholson"
"Patreon SGU",5,"m","Patreon funding for Skeptic’s Guide to the Universe"
"Patreon Mree",10,"m","Patreon funding for Mree"
