Month,Date,Rent,Parking,MGE,Akire,Julian,TotalA,TotalB,CheckSum,isPaid
1,2015/08/01,835,0,0,417.5,121.20967741935485,835,835,TRUE,TRUE
2,2015/09/01,835,0,59.27,447.135,443.04741379310343,894.27,894.27,TRUE,TRUE
3,2015/10/01,835,0,51.49,443.245,443.245,886.49,886.49,TRUE,TRUE
4,2015/11/01,835,0,50.43,442.715,442.715,885.43,885.43,TRUE,TRUE
5,2015/12/01,835,0,48.1,441.55,441.55,883.1,883.1,TRUE,TRUE
6,2016/01/01,835,0,48.26,441.63,441.63,883.26,883.26,TRUE,TRUE
7,2016/02/01,835,0,40.48,437.74,437.74,875.48,875.48,TRUE,TRUE
8,2016/03/01,835,0,45.38,440.19,440.19,880.38,880.38,TRUE,TRUE
9,2016/04/01,835,0,50,442.5,442.5,885,885,TRUE,TRUE
10,2016/05/01,835,0,55.36,445.18,445.18,890.36,890.36,TRUE,TRUE
11,2016/06/01,835,0,51.89,443.445,443.445,886.89,886.89,TRUE,TRUE
12,2016/07/01,835,0,51.76,443.38,443.38,886.76,886.76,TRUE,TRUE
13,2016/08/01,860,0,59.01,459.505,459.505,919.01,919.01,TRUE,TRUE
14,2016/09/01,860,50,56.88,483.44,483.44,966.88,966.88,TRUE,TRUE
15,2016/10/01,860,25,59.04,472.02,472.02,944.04,944.04,TRUE,TRUE
16,2016/11/01,860,25,51.94,468.47,468.47,936.94,936.94,TRUE,TRUE
17,2016/12/01,860,25,47.78,466.39,466.39,932.78,932.78,TRUE,TRUE
18,2017/01/01,860,25,54.78,469.89,469.89,939.78,939.78,TRUE,TRUE
19,2017/02/01,860,25,45.42,465.21,465.21,930.42,930.42,TRUE,TRUE
20,2017/03/01,860,25,48.12,466.56,466.56,933.12,933.12,TRUE,TRUE
21,2017/04/01,860,25,48.28,466.64,466.64,933.28,933.28,TRUE,TRUE
22,2017/05/01,860,25,53.56,469.28,469.28,938.56,938.56,TRUE,TRUE
23,2017/06/01,860,25,49.02,467.01,467.01,934.02,934.02,TRUE,TRUE
24,2017/07/01,903,25,48.98,488.49,488.49,976.98,976.98,TRUE,TRUE
25,2017/08/01,903,25,56,492,492,984,984,TRUE,TRUE
26,2017/09/01,903,25,56,492,492,984,984,TRUE,TRUE
27,2017/10/01,903,25,56,492,492,984,984,TRUE,TRUE
28,2017/11/01,903,25,56,492,492,984,984,TRUE,TRUE
29,2017/12/01,903,25,56,492,492,984,984,TRUE,TRUE
30,2018/01/01,903,25,56,492,492,984,984,TRUE,TRUE
31,2018/02/01,903,25,51,489.5,489.5,979,979,TRUE,TRUE
32,2018/03/01,903,25,51,489.5,489.5,979,979,TRUE,TRUE
33,2018/04/01,903,25,51,489.5,489.5,979,979,TRUE,TRUE
34,2018/05/01,903,25,51,489.5,489.5,979,979,TRUE,TRUE
35,2018/06/01,948,25,0,486.5,486.5,973,973,TRUE,TRUE
36,2018/07/01,948,25,36.26,504.63,504.63,1009.26,1009.26,TRUE,TRUE
37,2018/08/01,948,25,50,520.99,520.99,1041.98,1041.98,TRUE,TRUE
38,2018/09/01,948,25,50,511.5,511.5,1023,1023,TRUE,TRUE
39,2018/10/01,948,25,0,486.5,486.5,973,973,TRUE,TRUE
40,2018/11/01,0,0,0,0,0,0,0,TRUE,
41,2018/12/01,0,0,0,0,0,0,0,TRUE,
42,2019/01/01,0,0,0,0,0,0,0,TRUE,
43,2019/02/01,0,0,0,0,0,0,0,TRUE,
44,2019/03/01,0,0,0,0,0,0,0,TRUE,
45,2019/04/01,0,0,0,0,0,0,0,TRUE,
46,2019/05/01,0,0,0,0,0,0,0,TRUE,
47,2019/06/01,0,0,0,0,0,0,0,TRUE,
48,2019/07/01,0,0,0,0,0,0,0,TRUE,
