Month,Date,RentStart,RentEnd,Rent,RentDays,ParkingStart,ParkingEnd,ParkingDays,Parking,MGEStart,MGEEnd,MGEDays,MGE,MiscNote,Misc,Total
1,2015/08/01,2015/08/01,2015/08/31,835,31,2015/08/01,2015/08/31,31,0,2015/07/16,2015/08/15,29,0,,0,835
2,2015/09/01,2015/09/01,2015/09/30,835,30,2015/09/01,2015/09/30,30,0,2015/08/16,2015/09/15,29,59.27,,0,894.27
3,2015/10/01,2015/10/01,2015/10/31,835,31,2015/10/01,2015/10/31,31,0,2015/09/16,2015/10/15,28,51.49,,0,886.49
4,2015/11/01,2015/11/01,2015/11/30,835,30,2015/11/01,2015/11/30,30,0,2015/10/16,2015/11/15,29,50.43,,0,885.43
5,2015/12/01,2015/12/01,2015/12/31,835,31,2015/12/01,2015/12/31,31,0,2015/11/16,2015/12/15,28,48.1,,0,883.1
6,2016/01/01,2016/01/01,2016/01/31,835,31,2016/01/01,2016/01/31,31,0,2015/12/16,2016/01/15,29,48.26,,0,883.26
7,2016/02/01,2016/02/01,2016/02/29,835,29,2016/02/01,2016/02/29,29,0,2016/01/16,2016/02/15,29,40.48,,0,875.48
8,2016/03/01,2016/03/01,2016/03/31,835,31,2016/03/01,2016/03/31,31,0,2016/02/16,2016/03/15,27,45.38,,0,880.38
9,2016/04/01,2016/04/01,2016/04/30,835,30,2016/04/01,2016/04/30,30,0,2016/03/16,2016/04/15,29,50,,0,885
10,2016/05/01,2016/05/01,2016/05/31,835,31,2016/05/01,2016/05/31,31,0,2016/04/16,2016/05/15,28,55.36,,0,890.36
11,2016/06/01,2016/06/01,2016/06/30,835,30,2016/06/01,2016/06/30,30,0,2016/05/16,2016/06/15,29,51.89,,0,886.89
12,2016/07/01,2016/07/01,2016/07/31,835,31,2016/07/01,2016/07/31,31,0,2016/06/16,2016/07/15,28,51.76,,0,886.76
13,2016/08/01,2016/08/01,2016/08/31,860,31,2016/08/01,2016/08/31,31,0,2016/07/16,2016/08/15,29,59.01,"Julian bought car",0,919.01
14,2016/09/01,2016/09/01,2016/09/30,860,30,2016/09/01,2016/09/30,30,50,2016/08/16,2016/09/15,29,56.88,,0,966.88
15,2016/10/01,2016/10/01,2016/10/31,860,31,2016/10/01,2016/10/31,31,25,2016/09/16,2016/10/15,28,59.04,,0,944.04
16,2016/11/01,2016/11/01,2016/11/30,860,30,2016/11/01,2016/11/30,30,25,2016/10/16,2016/11/15,29,51.94,,0,936.94
17,2016/12/01,2016/12/01,2016/12/31,860,31,2016/12/01,2016/12/31,31,25,2016/11/16,2016/12/15,28,47.78,,0,932.78
18,2017/01/01,2017/01/01,2017/01/31,860,31,2017/01/01,2017/01/31,31,25,2016/12/16,2017/01/15,29,54.78,,0,939.78
19,2017/02/01,2017/02/01,2017/02/28,860,28,2017/02/01,2017/02/28,28,25,2017/01/16,2017/02/15,29,45.42,,0,930.42
20,2017/03/01,2017/03/01,2017/03/31,860,31,2017/03/01,2017/03/31,31,25,2017/02/16,2017/03/15,26,48.12,,0,933.12
21,2017/04/01,2017/04/01,2017/04/30,860,30,2017/04/01,2017/04/30,30,25,2017/03/16,2017/04/15,29,48.28,,0,933.28
22,2017/05/01,2017/05/01,2017/05/31,860,31,2017/05/01,2017/05/31,31,25,2017/04/16,2017/05/15,28,53.56,,0,938.56
23,2017/06/01,2017/06/01,2017/06/30,860,30,2017/06/01,2017/06/30,30,25,2017/05/16,2017/06/15,29,49.02,,0,934.02
24,2017/07/01,2017/07/01,2017/07/31,903,31,2017/07/01,2017/07/31,31,25,2017/06/16,2017/07/15,28,48.98,,0,976.98
25,2017/08/01,2017/08/01,2017/08/31,903,31,2017/08/01,2017/08/31,31,25,2017/07/16,2017/08/15,29,56,,0,984
26,2017/09/01,2017/09/01,2017/09/30,903,30,2017/09/01,2017/09/30,30,25,2017/08/16,2017/09/15,29,56,,0,984
27,2017/10/01,2017/10/01,2017/10/31,903,31,2017/10/01,2017/10/31,31,25,2017/09/16,2017/10/15,28,56,,0,984
28,2017/11/01,2017/11/01,2017/11/30,903,30,2017/11/01,2017/11/30,30,25,2017/10/16,2017/11/15,29,56,,0,984
29,2017/12/01,2017/12/01,2017/12/31,903,31,2017/12/01,2017/12/31,31,25,2017/11/16,2017/12/15,28,56,,0,984
30,2018/01/01,2018/01/01,2018/01/31,903,31,2018/01/01,2018/01/31,31,25,2017/12/16,2018/01/15,29,56,,0,984
31,2018/02/01,2018/02/01,2018/02/28,903,28,2018/02/01,2018/02/28,28,25,2018/01/16,2018/02/15,29,51,,0,979
32,2018/03/01,2018/03/01,2018/03/31,903,31,2018/03/01,2018/03/31,31,25,2018/02/16,2018/03/15,26,51,,0,979
33,2018/04/01,2018/04/01,2018/04/30,903,30,2018/04/01,2018/04/30,30,25,2018/03/16,2018/04/15,29,51,,0,979
34,2018/05/01,2018/05/01,2018/05/31,903,31,2018/05/01,2018/05/31,31,25,2018/04/16,2018/05/15,28,51,,0,979
35,2018/06/01,2018/06/01,2018/06/30,948,30,2018/06/01,2018/06/30,30,25,2018/05/16,2018/06/15,29,0,,0,973
36,2018/07/01,2018/07/01,2018/07/31,948,31,2018/07/01,2018/07/31,31,25,2018/06/16,2018/07/15,28,36.26,,0,1009.26
37,2018/08/01,2018/08/01,2018/08/31,948,31,2018/08/01,2018/08/31,31,25,2018/07/16,2018/08/15,29,50,"Papa John's pizza",18.98,1041.98
38,2018/09/01,2018/09/01,2018/09/30,948,30,2018/09/01,2018/09/30,30,25,2018/08/16,2018/09/15,29,50,,0,1023
39,2018/10/01,2018/10/01,2018/10/31,948,31,2018/10/01,2018/10/31,31,25,2018/09/16,2018/10/15,28,0,,0,973
40,2018/11/01,2018/11/01,2018/11/30,0,30,2018/11/01,2018/11/30,30,0,2018/10/16,2018/11/15,29,0,,0,0
41,2018/12/01,2018/12/01,2018/12/31,0,31,2018/12/01,2018/12/31,31,0,2018/11/16,2018/12/15,28,0,,0,0
42,2019/01/01,2019/01/01,2019/01/31,0,31,2019/01/01,2019/01/31,31,0,2018/12/16,2019/01/15,29,0,,0,0
43,2019/02/01,2019/02/01,2019/02/28,0,28,2019/02/01,2019/02/28,28,0,2019/01/16,2019/02/15,29,0,,0,0
44,2019/03/01,2019/03/01,2019/03/31,0,31,2019/03/01,2019/03/31,31,0,2019/02/16,2019/03/15,26,0,,0,0
45,2019/04/01,2019/04/01,2019/04/30,0,30,2019/04/01,2019/04/30,30,0,2019/03/16,2019/04/15,29,0,,0,0
46,2019/05/01,2019/05/01,2019/05/31,0,31,2019/05/01,2019/05/31,31,0,2019/04/16,2019/05/15,28,0,,0,0
47,2019/06/01,2019/06/01,2019/06/30,0,30,2019/06/01,2019/06/30,30,0,2019/05/16,2019/06/15,29,0,,0,0
48,2019/07/01,2019/07/01,2019/07/31,0,31,2019/07/01,2019/07/31,31,0,2019/06/16,2019/07/15,28,0,,0,0
